runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
DIAGONAL_LEG_SWING,HIP_SWING,HIP_SWING,Hip Swing,heuristic,med,inferred,bodyweight,BW,,relaxed,Diagonal Leg Swing,
DIAGONAL_TOE_TAP,LUNGE,DIAGONAL_LUNGE,Diagonal Lunge,heuristic,med,verified,bodyweight,BW,WARM_UP,same,Diagonal Toe Tap,warmup drill; no close equivalent
DL_SKIPPING,CARDIO,JUMP_ROPE,Jump Rope,curated,high,verified,bodyweight,BW,PLYOS,same,Dl Skipping,double-leg rope skipping = jump rope
DOUBLE_ARM_CLEAN,OLYMPIC_LIFT,DUMBBELL_CLEAN,Dumbbell Clean,curated,high,verified,weighted,DB,FULL_BODY,same,Double Arm Clean,
DOUBLE_ARM_CLEAN_1,OLYMPIC_LIFT,CLEAN,Barbell Clean,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Clean 1,
DOUBLE_ARM_CLEAN_2,OLYMPIC_LIFT,CLEAN,Barbell Clean,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Clean 2,
DOUBLE_ARM_CLEAN_AND_PRESS,OLYMPIC_LIFT,CLEAN_AND_PRESS,Clean and Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Clean And Press,
DOUBLE_ARM_CLEAN_AND_PRESS_1,OLYMPIC_LIFT,CLEAN_AND_PRESS,Clean and Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Clean And Press 1,
DOUBLE_ARM_CLEAN_AND_PRESS_2,OLYMPIC_LIFT,CLEAN_AND_PRESS,Clean and Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Clean And Press 2,
DOUBLE_ARM_SNATCH,OLYMPIC_LIFT,SINGLE_ARM_DUMBBELL_SNATCH,Single-arm Dumbbell Snatch,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Snatch,
DOUBLE_ARM_SNATCH_1,OLYMPIC_LIFT,SINGLE_ARM_DUMBBELL_SNATCH,Single-arm Dumbbell Snatch,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Snatch 1,
DOUBLE_ARM_SNATCH_2,OLYMPIC_LIFT,SINGLE_ARM_DUMBBELL_SNATCH,Single-arm Dumbbell Snatch,heuristic,med,inferred,bodyweight,BW,,relaxed,Double Arm Snatch 2,
DOUBLE_LEG_CALF_RAISE_ON_STEP,CALF_RAISE,STANDING_DUMBBELL_CALF_RAISE,Standing Dumbbell Calf Raise,curated,med,verified,weighted,KB,CALVES,same,Double Leg Calf Raise On Step,double-leg weighted calf raise
DOUBLE_LEG_CALF_RAISE_ON_STEP_1,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Double Leg Calf Raise On Step 1,
DOUBLE_LEG_CALF_RAISE_ON_STEP_2,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Double Leg Calf Raise On Step 2,
DOWNWARD_DOG,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,bodyweight,BW,,same,Downward Dog,no close match; generic same-muscle-group placeholder — see description
DOWNWARD_DOG_1,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,bodyweight,BW,,same,Downward Dog 1,no close match; generic same-muscle-group placeholder — see description
DOWNWARD_DOG_INTO_PIGEON_POSE,WARM_UP,STRETCH_PIGEON_POSE,Pigeon Pose Stretch,heuristic,med,inferred,bodyweight,BW,,same,Downward Dog Into Pigeon Pose,
DOWNWARD_DOG_TOE_TAPS,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,bodyweight,BW,,same,Downward Dog Toe Taps,no close match; generic same-muscle-group placeholder — see description
DOWN_DOG_CALF_STRETCH,CALF_RAISE,CALF_RAISE,Calf Raise,heuristic,med,inferred,bodyweight,BW,,same,Down Dog Calf Stretch,
