exerciseId,title_it,requires,requires2,unilateral,muscleGroupBroad,muscleGroupSpecific,gradeTypes,youtubeId,lottie,strengthTypes
DOUBLE_LEG_CALF_RAISE_ON_STEP,Sollevamento dei polpacci a due gambe su step,KB,,False,CALVES,BILATERAL_CALF,REPS,Og5Sle5DEkc,DOUBLE_LEG_CALF_RAISE_ON_STEP,FULL_BODY|LEGS_AND_CORE
DUMBBELL_BENCH_PRESS,Panca piana con manubri,DB,BENCH,False,CHEST,BILATERAL_CHEST,REPS,xhEhjF5ozuY,DUMBBELL_BENCH_PRESS,FULL_BODY
DUMBBELL_CHEST_FLY,Croci su panca piana con manubri,DB,BENCH,False,CHEST,BILATERAL_CHEST,REPS,98aRvyw-IGg,DUMBBELL_CHEST_FLY,FULL_BODY
FARMER'S_CARRY,Farmer Carry,DB,,False,FULL_BODY,BILATERAL_FB,SECONDS,lLAw6fUccKA,FARMER'S_CARRY,FULL_BODY|LEGS_AND_CORE
FIGURE_OF_8S,Figura degli 8,BW,,False,CORE,BILATERAL_CO,REPS,fCGUX27lEC8,FIGURE_OF_8S,FULL_BODY|LEGS_AND_CORE
FIRE_HYDRANTS,Fire Hydrants (abduzione dell'anca),BW,,True,WARM_UP,WARMUP_EX_LOWER,SECONDS,12whZWUANRY,FIRE_HYDRANTS,FULL_BODY|LEGS_AND_CORE
FLOATING_HEEL_DROP,Floating heel drop,BW,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,l_gqkPF3_0c,FLOATING_HEEL_DROP_2,FULL_BODY|LEGS_AND_CORE
FRONT_LEG_RAISED_LUNGE,Affondo con gamba anteriore sollevata,STEP,,True,QUADS,UNILATERAL_QUAD,REPS,d3NlC93UwXM,FRONT_LEG_RAISED_LUNGE,FULL_BODY|LEGS_AND_CORE
FRONT_SQUAT,Squat frontale,BARBELL,,False,QUADS,BILATERAL_QUAD,REPS,tCS4p5lS5rk,FRONT_SQUAT,LEGS_AND_CORE
GLUTE_BRIDGE,Ponte glutei,BW,,False,GLUTES,BILATERAL_GLUTE,REPS,L9KZfxT654Y,GLUTE_BRIDGE_1,LEGS_AND_CORE
GLUTE_BRIDGE_HAM_WALKOUT,Ponte glutei con camminata per muscoli ischiocrurali,BW,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,6yeyt5mUo94,GLUTE_BRIDGE_WITH_WALK_OUT,FULL_BODY|LEGS_AND_CORE
GOBLET_SQUAT,Goblet squat,KB,,False,QUADS,BILATERAL_QUAD,REPS,6mf0oa2GGUc,GOBLET_SQUAT,FULL_BODY|LEGS_AND_CORE
HAMSTRING_WALKOUT,Hamstring Walkout,BW,,False,HAMSTRING,BILATERAL_HAM,REPS,mt1fUd_0ELw,HAMSTRING_WALKOUT,LEGS_AND_CORE
HEEL_WALKS,Camminata sui talloni,BW,,False,WARM_UP,WARMUP_EX_LOWER,SECONDS,x_AuawYz2NA,HEEL_WALKS,FULL_BODY|LEGS_AND_CORE
HIP_DROP,Hip drop,STEP,,True,EXTRA,EXTRA,REPS,URR5gL6yQvk,HIP_DROP,FULL_BODY|LEGS_AND_CORE
INCLINE_BARBELL_BENCH_PRESS,Panca inclinata con bilanciere,BARBELL,BENCH,False,CHEST,BILATERAL_CHEST,REPS,O9x7xRhtA9Q,INCLINE_BARBELL_BENCH_PRESS,FULL_BODY
KB_SWINGS,Oscillazioni con kettlebell,KB,,False,HAMSTRING,BILATERAL_HAM,REPS,kuZPzr_eldA,KB_SWINGS,FULL_BODY|LEGS_AND_CORE
KNEE_DRIVE,Knee Drive,BW,,False,FULL_BODY,UNILATERAL_FB,REPS,MrY88grXRtU,KNEE_DRIVE,LEGS_AND_CORE
LATERAL_WALK,Camminata laterale,BW,,True,GLUTES,BILATERAL_GLUTE,REPS,9MuZrYJddcQ,LATERAL_WALK_1,FULL_BODY|LEGS_AND_CORE
LUNGE_AND_PRESS,Lunge & press,DB,,True,FULL_BODY,UNILATERAL_FB,REPS,1AP-jQ-n3dg,LUNGE_AND_PRESS,FULL_BODY|LEGS_AND_CORE
